,scr_num,date_time,trd_stat,preclose_px,open_px,high_px,low_px,last_px,up_limit,down_limit,trd_count,totl_trd_vol,totl_trd_amt,withdraw_buy_count,withdraw_buy_px,withdraw_buy_amount,withdraw_sell_count,withdraw_sell_px,withdraw_sell_amount,bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_price6,bid_price7,bid_price8,bid_price9,bid_price10,bid_size1,bid_size2,bid_size3,bid_size4,bid_size5,bid_size6,bid_size7,bid_size8,bid_size9,bid_size10,offer_price1,offer_price2,offer_price3,offer_price4,offer_price5,offer_price6,offer_price7,offer_price8,offer_price9,offer_price10,offer_size1,offer_size2,offer_size3,offer_size4,offer_size5,offer_size6,offer_size7,offer_size8,offer_size9,offer_size10,totl_buy_amount,totl_sell_amount,weighted_avg_sell_px,weighted_avg_buy_px
722,000001.XSHE,2023-11-22 10:06:06.000,T,10.28,10.26,10.31,10.24,10.25,11.31,9.25,7000,14023635,143947390.12,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,439600,999480,593100,762600,634400,1072900,298600,473800,207100,356700,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,406200,196400,302500,172700,330900,605500,394900,923300,357200,570100,10670380,18848376,10.6,10.06
723,000001.XSHE,2023-11-22 10:06:09.000,T,10.28,10.26,10.31,10.24,10.25,11.31,9.25,7002,14027235,143984290.12,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,439300,999480,593100,762200,633400,1074900,298600,473800,207100,356700,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,419300,196400,302500,172700,330900,605500,394900,923300,357200,570100,10671380,18861976,10.6,10.06
724,000001.XSHE,2023-11-22 10:06:12.000,T,10.28,10.26,10.31,10.24,10.25,11.31,9.25,7002,14027235,143984290.12,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,450600,999480,593100,762200,633400,1074900,298600,473800,207100,355700,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,419300,197000,302500,172700,330900,609500,394900,923300,357200,570100,10681680,18869076,10.6,10.06
725,000001.XSHE,2023-11-22 10:06:15.000,T,10.28,10.26,10.31,10.24,10.25,11.31,9.25,7002,14027235,143984290.12,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,450600,999480,593100,762200,633400,1074900,298600,473800,207100,355700,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,419400,197000,303500,172700,330900,609500,394900,923300,357200,570100,10681680,18870176,10.6,10.06
726,000001.XSHE,2023-11-22 10:06:18.000,T,10.28,10.26,10.31,10.24,10.25,11.31,9.25,7003,14030735,144020165.12,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,447600,999380,593100,762200,633400,1074900,298600,473800,207100,355700,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,419600,197000,303500,172700,330900,609500,394900,923300,357200,570100,10678580,18852876,10.6,10.06
727,000001.XSHE,2023-11-22 10:06:21.000,T,10.28,10.26,10.31,10.24,10.25,11.31,9.25,7004,14033935,144052965.12,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,444400,1002080,594100,762200,637000,1074900,298600,473800,207100,355700,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,419600,197000,303500,172700,330900,609500,394900,923300,357200,570100,10682680,18849876,10.6,10.06
728,000001.XSHE,2023-11-22 10:06:24.000,T,10.28,10.26,10.31,10.24,10.25,11.31,9.25,7005,14034135,144055015.12,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,444200,1002080,594100,762200,652000,1074900,298600,473800,207100,355700,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,421500,196800,303500,172700,330900,609500,394900,923300,357200,570100,10697780,18848676,10.6,10.06
729,000001.XSHE,2023-11-22 10:06:27.000,T,10.28,10.26,10.31,10.24,10.25,11.31,9.25,7005,14034135,144055015.12,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,444900,1001580,610100,762200,652500,1074900,298600,473800,207100,355700,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,426100,196800,303500,172700,330900,609500,394900,923300,357200,570100,10714480,18853276,10.6,10.06
730,000001.XSHE,2023-11-22 10:06:30.000,T,10.28,10.26,10.31,10.24,10.25,11.31,9.25,7007,14036635,144080640.12,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,443400,1000580,610100,762200,655500,1074900,298600,473800,207100,359100,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,426100,196800,301600,172700,330900,609500,394900,923300,357200,571100,10718380,18852376,10.6,10.06
731,000001.XSHE,2023-11-22 10:06:33.000,T,10.28,10.26,10.31,10.24,10.25,11.31,9.25,7007,14036635,144080640.12,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,445600,1000580,610100,762200,655500,1074900,298600,473800,207100,359100,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,428100,196800,301600,172700,330900,609500,394900,923300,357200,571100,10720580,18854376,10.6,10.06
